module_name,module_version,full_name,prefix,obj_name,obj_doc,object_type,arg_full,0,1,2,3
json,2.0.9,json.decoder.JSONArray,decoder,JSONArray,"Python Library Documentation: function JSONArray in module json.decoder

JSONArray(s_and_end, scan_once, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \t\n\r')
",function,"(""(s_and_end, scan_once, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \\t\\n\\r')"",)",s_and_end,,,arg_info
json,2.0.9,json.decoder.JSONArray,decoder,JSONArray,"Python Library Documentation: function JSONArray in module json.decoder

JSONArray(s_and_end, scan_once, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \t\n\r')
",function,"(""(s_and_end, scan_once, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \\t\\n\\r')"",)",scan_once,,,arg_info
json,2.0.9,json.decoder.JSONArray,decoder,JSONArray,"Python Library Documentation: function JSONArray in module json.decoder

JSONArray(s_and_end, scan_once, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \t\n\r')
",function,"(""(s_and_end, scan_once, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \\t\\n\\r')"",)",_w,<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>,builtin_function_or_method,arg_info
json,2.0.9,json.decoder.JSONArray,decoder,JSONArray,"Python Library Documentation: function JSONArray in module json.decoder

JSONArray(s_and_end, scan_once, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \t\n\r')
",function,"(""(s_and_end, scan_once, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \\t\\n\\r')"",)",_ws," 	
",,arg_info
json,2.0.9,json.decoder.JSONDecodeError,decoder,JSONDecodeError,"Python Library Documentation: class JSONDecodeError in module json.decoder

class JSONDecodeError(builtins.ValueError)
 |  Subclass of ValueError with the following additional properties:
 |  
 |  msg: The unformatted error message
 |  doc: The JSON document being parsed
 |  pos: The start index of doc where parsing failed
 |  lineno: The line corresponding to pos
 |  colno: The column corresponding to pos
 |  
 |  Method resolution order:
 |      JSONDecodeError
 |      builtins.ValueError
 |      builtins.Exception
 |      builtins.BaseException
 |      builtins.object
 |  
 |  Methods defined here:
 |  
 |  __init__(self, msg, doc, pos)
 |      Initialize self.  See help(type(self)) for accurate signature.
 |  
 |  __reduce__(self)
 |      helper for pickle
 |  
 |  ----------------------------------------------------------------------
 |  Data descriptors defined here:
 |  
 |  __weakref__
 |      list of weak references to the object (if defined)
 |  
 |  ----------------------------------------------------------------------
 |  Methods inherited from builtins.ValueError:
 |  
 |  __new__(*args, **kwargs) from builtins.type
 |      Create and return a new object.  See help(type) for accurate signature.
 |  
 |  ----------------------------------------------------------------------
 |  Methods inherited from builtins.BaseException:
 |  
 |  __delattr__(self, name, /)
 |      Implement delattr(self, name).
 |  
 |  __getattribute__(self, name, /)
 |      Return getattr(self, name).
 |  
 |  __repr__(self, /)
 |      Return repr(self).
 |  
 |  __setattr__(self, name, value, /)
 |      Implement setattr(self, name, value).
 |  
 |  __setstate__(...)
 |  
 |  __str__(self, /)
 |      Return str(self).
 |  
 |  with_traceback(...)
 |      Exception.with_traceback(tb) --
 |      set self.__traceback__ to tb and return self.
 |  
 |  ----------------------------------------------------------------------
 |  Data descriptors inherited from builtins.BaseException:
 |  
 |  __cause__
 |      exception cause
 |  
 |  __context__
 |      exception context
 |  
 |  __dict__
 |  
 |  __suppress_context__
 |  
 |  __traceback__
 |  
 |  args
",class,"('(self, msg, doc, pos)',)",doc,,,arg_info
json,2.0.9,json.decoder.JSONDecodeError,decoder,JSONDecodeError,"Python Library Documentation: class JSONDecodeError in module json.decoder

class JSONDecodeError(builtins.ValueError)
 |  Subclass of ValueError with the following additional properties:
 |  
 |  msg: The unformatted error message
 |  doc: The JSON document being parsed
 |  pos: The start index of doc where parsing failed
 |  lineno: The line corresponding to pos
 |  colno: The column corresponding to pos
 |  
 |  Method resolution order:
 |      JSONDecodeError
 |      builtins.ValueError
 |      builtins.Exception
 |      builtins.BaseException
 |      builtins.object
 |  
 |  Methods defined here:
 |  
 |  __init__(self, msg, doc, pos)
 |      Initialize self.  See help(type(self)) for accurate signature.
 |  
 |  __reduce__(self)
 |      helper for pickle
 |  
 |  ----------------------------------------------------------------------
 |  Data descriptors defined here:
 |  
 |  __weakref__
 |      list of weak references to the object (if defined)
 |  
 |  ----------------------------------------------------------------------
 |  Methods inherited from builtins.ValueError:
 |  
 |  __new__(*args, **kwargs) from builtins.type
 |      Create and return a new object.  See help(type) for accurate signature.
 |  
 |  ----------------------------------------------------------------------
 |  Methods inherited from builtins.BaseException:
 |  
 |  __delattr__(self, name, /)
 |      Implement delattr(self, name).
 |  
 |  __getattribute__(self, name, /)
 |      Return getattr(self, name).
 |  
 |  __repr__(self, /)
 |      Return repr(self).
 |  
 |  __setattr__(self, name, value, /)
 |      Implement setattr(self, name, value).
 |  
 |  __setstate__(...)
 |  
 |  __str__(self, /)
 |      Return str(self).
 |  
 |  with_traceback(...)
 |      Exception.with_traceback(tb) --
 |      set self.__traceback__ to tb and return self.
 |  
 |  ----------------------------------------------------------------------
 |  Data descriptors inherited from builtins.BaseException:
 |  
 |  __cause__
 |      exception cause
 |  
 |  __context__
 |      exception context
 |  
 |  __dict__
 |  
 |  __suppress_context__
 |  
 |  __traceback__
 |  
 |  args
",class,"('(self, msg, doc, pos)',)",msg,,,arg_info
json,2.0.9,json.decoder.JSONDecodeError,decoder,JSONDecodeError,"Python Library Documentation: class JSONDecodeError in module json.decoder

class JSONDecodeError(builtins.ValueError)
 |  Subclass of ValueError with the following additional properties:
 |  
 |  msg: The unformatted error message
 |  doc: The JSON document being parsed
 |  pos: The start index of doc where parsing failed
 |  lineno: The line corresponding to pos
 |  colno: The column corresponding to pos
 |  
 |  Method resolution order:
 |      JSONDecodeError
 |      builtins.ValueError
 |      builtins.Exception
 |      builtins.BaseException
 |      builtins.object
 |  
 |  Methods defined here:
 |  
 |  __init__(self, msg, doc, pos)
 |      Initialize self.  See help(type(self)) for accurate signature.
 |  
 |  __reduce__(self)
 |      helper for pickle
 |  
 |  ----------------------------------------------------------------------
 |  Data descriptors defined here:
 |  
 |  __weakref__
 |      list of weak references to the object (if defined)
 |  
 |  ----------------------------------------------------------------------
 |  Methods inherited from builtins.ValueError:
 |  
 |  __new__(*args, **kwargs) from builtins.type
 |      Create and return a new object.  See help(type) for accurate signature.
 |  
 |  ----------------------------------------------------------------------
 |  Methods inherited from builtins.BaseException:
 |  
 |  __delattr__(self, name, /)
 |      Implement delattr(self, name).
 |  
 |  __getattribute__(self, name, /)
 |      Return getattr(self, name).
 |  
 |  __repr__(self, /)
 |      Return repr(self).
 |  
 |  __setattr__(self, name, value, /)
 |      Implement setattr(self, name, value).
 |  
 |  __setstate__(...)
 |  
 |  __str__(self, /)
 |      Return str(self).
 |  
 |  with_traceback(...)
 |      Exception.with_traceback(tb) --
 |      set self.__traceback__ to tb and return self.
 |  
 |  ----------------------------------------------------------------------
 |  Data descriptors inherited from builtins.BaseException:
 |  
 |  __cause__
 |      exception cause
 |  
 |  __context__
 |      exception context
 |  
 |  __dict__
 |  
 |  __suppress_context__
 |  
 |  __traceback__
 |  
 |  args
",class,"('(self, msg, doc, pos)',)",self,,,arg_info
json,2.0.9,json.decoder.JSONDecodeError,decoder,JSONDecodeError,"Python Library Documentation: class JSONDecodeError in module json.decoder

class JSONDecodeError(builtins.ValueError)
 |  Subclass of ValueError with the following additional properties:
 |  
 |  msg: The unformatted error message
 |  doc: The JSON document being parsed
 |  pos: The start index of doc where parsing failed
 |  lineno: The line corresponding to pos
 |  colno: The column corresponding to pos
 |  
 |  Method resolution order:
 |      JSONDecodeError
 |      builtins.ValueError
 |      builtins.Exception
 |      builtins.BaseException
 |      builtins.object
 |  
 |  Methods defined here:
 |  
 |  __init__(self, msg, doc, pos)
 |      Initialize self.  See help(type(self)) for accurate signature.
 |  
 |  __reduce__(self)
 |      helper for pickle
 |  
 |  ----------------------------------------------------------------------
 |  Data descriptors defined here:
 |  
 |  __weakref__
 |      list of weak references to the object (if defined)
 |  
 |  ----------------------------------------------------------------------
 |  Methods inherited from builtins.ValueError:
 |  
 |  __new__(*args, **kwargs) from builtins.type
 |      Create and return a new object.  See help(type) for accurate signature.
 |  
 |  ----------------------------------------------------------------------
 |  Methods inherited from builtins.BaseException:
 |  
 |  __delattr__(self, name, /)
 |      Implement delattr(self, name).
 |  
 |  __getattribute__(self, name, /)
 |      Return getattr(self, name).
 |  
 |  __repr__(self, /)
 |      Return repr(self).
 |  
 |  __setattr__(self, name, value, /)
 |      Implement setattr(self, name, value).
 |  
 |  __setstate__(...)
 |  
 |  __str__(self, /)
 |      Return str(self).
 |  
 |  with_traceback(...)
 |      Exception.with_traceback(tb) --
 |      set self.__traceback__ to tb and return self.
 |  
 |  ----------------------------------------------------------------------
 |  Data descriptors inherited from builtins.BaseException:
 |  
 |  __cause__
 |      exception cause
 |  
 |  __context__
 |      exception context
 |  
 |  __dict__
 |  
 |  __suppress_context__
 |  
 |  __traceback__
 |  
 |  args
",class,"('(self, msg, doc, pos)',)",pos,,,arg_info
json,2.0.9,json.decoder.JSONDecoder,decoder,JSONDecoder,"Python Library Documentation: class JSONDecoder in module json.decoder

class JSONDecoder(builtins.object)
 |  Simple JSON <http://json.org> decoder
 |  
 |  Performs the following translations in decoding by default:
 |  
 |  +---------------+-------------------+
 |  | JSON          | Python            |
 |  +===============+===================+
 |  | object        | dict              |
 |  +---------------+-------------------+
 |  | array         | list              |
 |  +---------------+-------------------+
 |  | string        | str               |
 |  +---------------+-------------------+
 |  | number (int)  | int               |
 |  +---------------+-------------------+
 |  | number (real) | float             |
 |  +---------------+-------------------+
 |  | true          | True              |
 |  +---------------+-------------------+
 |  | false         | False             |
 |  +---------------+-------------------+
 |  | null          | None              |
 |  +---------------+-------------------+
 |  
 |  It also understands ``NaN``, ``Infinity``, and ``-Infinity`` as
 |  their corresponding ``float`` values, which is outside the JSON spec.
 |  
 |  Methods defined here:
 |  
 |  __init__(self, *, object_hook=None, parse_float=None, parse_int=None, parse_constant=None, strict=True, object_pairs_hook=None)
 |      ``object_hook``, if specified, will be called with the result
 |      of every JSON object decoded and its return value will be used in
 |      place of the given ``dict``.  This can be used to provide custom
 |      deserializations (e.g. to support JSON-RPC class hinting).
 |      
 |      ``object_pairs_hook``, if specified will be called with the result of
 |      every JSON object decoded with an ordered list of pairs.  The return
 |      value of ``object_pairs_hook`` will be used instead of the ``dict``.
 |      This feature can be used to implement custom decoders that rely on the
 |      order that the key and value pairs are decoded (for example,
 |      collections.OrderedDict will remember the order of insertion). If
 |      ``object_hook`` is also defined, the ``object_pairs_hook`` takes
 |      priority.
 |      
 |      ``parse_float``, if specified, will be called with the string
 |      of every JSON float to be decoded. By default this is equivalent to
 |      float(num_str). This can be used to use another datatype or parser
 |      for JSON floats (e.g. decimal.Decimal).
 |      
 |      ``parse_int``, if specified, will be called with the string
 |      of every JSON int to be decoded. By default this is equivalent to
 |      int(num_str). This can be used to use another datatype or parser
 |      for JSON integers (e.g. float).
 |      
 |      ``parse_constant``, if specified, will be called with one of the
 |      following strings: -Infinity, Infinity, NaN.
 |      This can be used to raise an exception if invalid JSON numbers
 |      are encountered.
 |      
 |      If ``strict`` is false (true is the default), then control
 |      characters will be allowed inside strings.  Control characters in
 |      this context are those with character codes in the 0-31 range,
 |      including ``'\t'`` (tab), ``'\n'``, ``'\r'`` and ``'\0'``.
 |  
 |  decode(self, s, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>)
 |      Return the Python representation of ``s`` (a ``str`` instance
 |      containing a JSON document).
 |  
 |  raw_decode(self, s, idx=0)
 |      Decode a JSON document from ``s`` (a ``str`` beginning with
 |      a JSON document) and return a 2-tuple of the Python
 |      representation and the index in ``s`` where the document ended.
 |      
 |      This can be used to decode a JSON document from a string that may
 |      have extraneous data at the end.
 |  
 |  ----------------------------------------------------------------------
 |  Data descriptors defined here:
 |  
 |  __dict__
 |      dictionary for instance variables (if defined)
 |  
 |  __weakref__
 |      list of weak references to the object (if defined)
",class,"('(self, *, object_hook=None, parse_float=None, parse_int=None, parse_constant=None, strict=True, object_pairs_hook=None)',)",self,,,arg_info
json,2.0.9,json.decoder.JSONObject,decoder,JSONObject,"Python Library Documentation: function JSONObject in module json.decoder

JSONObject(s_and_end, strict, scan_once, object_hook, object_pairs_hook, memo=None, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \t\n\r')
",function,"(""(s_and_end, strict, scan_once, object_hook, object_pairs_hook, memo=None, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \\t\\n\\r')"",)",object_hook,,,arg_info
json,2.0.9,json.decoder.JSONObject,decoder,JSONObject,"Python Library Documentation: function JSONObject in module json.decoder

JSONObject(s_and_end, strict, scan_once, object_hook, object_pairs_hook, memo=None, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \t\n\r')
",function,"(""(s_and_end, strict, scan_once, object_hook, object_pairs_hook, memo=None, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \\t\\n\\r')"",)",_w,<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>,builtin_function_or_method,arg_info
json,2.0.9,json.decoder.JSONObject,decoder,JSONObject,"Python Library Documentation: function JSONObject in module json.decoder

JSONObject(s_and_end, strict, scan_once, object_hook, object_pairs_hook, memo=None, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \t\n\r')
",function,"(""(s_and_end, strict, scan_once, object_hook, object_pairs_hook, memo=None, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \\t\\n\\r')"",)",_ws," 	
",,arg_info
json,2.0.9,json.decoder.JSONObject,decoder,JSONObject,"Python Library Documentation: function JSONObject in module json.decoder

JSONObject(s_and_end, strict, scan_once, object_hook, object_pairs_hook, memo=None, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \t\n\r')
",function,"(""(s_and_end, strict, scan_once, object_hook, object_pairs_hook, memo=None, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \\t\\n\\r')"",)",scan_once,,,arg_info
json,2.0.9,json.decoder.JSONObject,decoder,JSONObject,"Python Library Documentation: function JSONObject in module json.decoder

JSONObject(s_and_end, strict, scan_once, object_hook, object_pairs_hook, memo=None, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \t\n\r')
",function,"(""(s_and_end, strict, scan_once, object_hook, object_pairs_hook, memo=None, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \\t\\n\\r')"",)",strict,,,arg_info
json,2.0.9,json.decoder.JSONObject,decoder,JSONObject,"Python Library Documentation: function JSONObject in module json.decoder

JSONObject(s_and_end, strict, scan_once, object_hook, object_pairs_hook, memo=None, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \t\n\r')
",function,"(""(s_and_end, strict, scan_once, object_hook, object_pairs_hook, memo=None, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \\t\\n\\r')"",)",s_and_end,,,arg_info
json,2.0.9,json.decoder.JSONObject,decoder,JSONObject,"Python Library Documentation: function JSONObject in module json.decoder

JSONObject(s_and_end, strict, scan_once, object_hook, object_pairs_hook, memo=None, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \t\n\r')
",function,"(""(s_and_end, strict, scan_once, object_hook, object_pairs_hook, memo=None, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \\t\\n\\r')"",)",object_pairs_hook,,,arg_info
json,2.0.9,json.decoder.JSONObject,decoder,JSONObject,"Python Library Documentation: function JSONObject in module json.decoder

JSONObject(s_and_end, strict, scan_once, object_hook, object_pairs_hook, memo=None, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \t\n\r')
",function,"(""(s_and_end, strict, scan_once, object_hook, object_pairs_hook, memo=None, _w=<built-in method match of _sre.SRE_Pattern object at 0x000002299344C1B0>, _ws=' \\t\\n\\r')"",)",memo,,NoneType,arg_info
json,2.0.9,json.decoder._decode_uXXXX,decoder,_decode_uXXXX,"Python Library Documentation: function _decode_uXXXX in module json.decoder

_decode_uXXXX(s, pos)
",function,"('(s, pos)',)",s,,,arg_info
json,2.0.9,json.decoder._decode_uXXXX,decoder,_decode_uXXXX,"Python Library Documentation: function _decode_uXXXX in module json.decoder

_decode_uXXXX(s, pos)
",function,"('(s, pos)',)",pos,,,arg_info
json,2.0.9,json.decoder.py_scanstring,decoder,py_scanstring,"Python Library Documentation: function py_scanstring in module json.decoder

py_scanstring(s, end, strict=True, _b={'""': '""', '\\': '\\', '/': '/', 'b': '\x08', 'f': '\x0c', 'n': '\n', 'r': '\r', 't': '\t'}, _m=<built-in method match of _sre.SRE_Pattern object at 0x0000022993408810>)
    Scan the string s for a JSON string. End is the index of the
    character in s after the quote that started the JSON string.
    Unescapes all valid JSON string escape sequences and raises ValueError
    on attempt to decode an invalid string. If strict is False then literal
    control characters are allowed in the string.
    
    Returns a tuple of the decoded string and the index of the character in s
    after the end quote.
",function,"('(s, end, strict=True, _b={\'""\': \'""\', \'\\\\\': \'\\\\\', \'/\': \'/\', \'b\': \'\\x08\', \'f\': \'\\x0c\', \'n\': \'\\n\', \'r\': \'\\r\', \'t\': \'\\t\'}, _m=<built-in method match of _sre.SRE_Pattern object at 0x0000022993408810>)',)",end,,,arg_info
json,2.0.9,json.decoder.py_scanstring,decoder,py_scanstring,"Python Library Documentation: function py_scanstring in module json.decoder

py_scanstring(s, end, strict=True, _b={'""': '""', '\\': '\\', '/': '/', 'b': '\x08', 'f': '\x0c', 'n': '\n', 'r': '\r', 't': '\t'}, _m=<built-in method match of _sre.SRE_Pattern object at 0x0000022993408810>)
    Scan the string s for a JSON string. End is the index of the
    character in s after the quote that started the JSON string.
    Unescapes all valid JSON string escape sequences and raises ValueError
    on attempt to decode an invalid string. If strict is False then literal
    control characters are allowed in the string.
    
    Returns a tuple of the decoded string and the index of the character in s
    after the end quote.
",function,"('(s, end, strict=True, _b={\'""\': \'""\', \'\\\\\': \'\\\\\', \'/\': \'/\', \'b\': \'\\x08\', \'f\': \'\\x0c\', \'n\': \'\\n\', \'r\': \'\\r\', \'t\': \'\\t\'}, _m=<built-in method match of _sre.SRE_Pattern object at 0x0000022993408810>)',)",_m,<built-in method match of _sre.SRE_Pattern object at 0x0000022993408810>,builtin_function_or_method,arg_info
json,2.0.9,json.decoder.py_scanstring,decoder,py_scanstring,"Python Library Documentation: function py_scanstring in module json.decoder

py_scanstring(s, end, strict=True, _b={'""': '""', '\\': '\\', '/': '/', 'b': '\x08', 'f': '\x0c', 'n': '\n', 'r': '\r', 't': '\t'}, _m=<built-in method match of _sre.SRE_Pattern object at 0x0000022993408810>)
    Scan the string s for a JSON string. End is the index of the
    character in s after the quote that started the JSON string.
    Unescapes all valid JSON string escape sequences and raises ValueError
    on attempt to decode an invalid string. If strict is False then literal
    control characters are allowed in the string.
    
    Returns a tuple of the decoded string and the index of the character in s
    after the end quote.
",function,"('(s, end, strict=True, _b={\'""\': \'""\', \'\\\\\': \'\\\\\', \'/\': \'/\', \'b\': \'\\x08\', \'f\': \'\\x0c\', \'n\': \'\\n\', \'r\': \'\\r\', \'t\': \'\\t\'}, _m=<built-in method match of _sre.SRE_Pattern object at 0x0000022993408810>)',)",_b,"{'""': '""', '\\': '\\', '/': '/', 'b': '\x08', 'f': '\x0c', 'n': '\n', 'r': '\r', 't': '\t'}",dict,arg_info
json,2.0.9,json.decoder.py_scanstring,decoder,py_scanstring,"Python Library Documentation: function py_scanstring in module json.decoder

py_scanstring(s, end, strict=True, _b={'""': '""', '\\': '\\', '/': '/', 'b': '\x08', 'f': '\x0c', 'n': '\n', 'r': '\r', 't': '\t'}, _m=<built-in method match of _sre.SRE_Pattern object at 0x0000022993408810>)
    Scan the string s for a JSON string. End is the index of the
    character in s after the quote that started the JSON string.
    Unescapes all valid JSON string escape sequences and raises ValueError
    on attempt to decode an invalid string. If strict is False then literal
    control characters are allowed in the string.
    
    Returns a tuple of the decoded string and the index of the character in s
    after the end quote.
",function,"('(s, end, strict=True, _b={\'""\': \'""\', \'\\\\\': \'\\\\\', \'/\': \'/\', \'b\': \'\\x08\', \'f\': \'\\x0c\', \'n\': \'\\n\', \'r\': \'\\r\', \'t\': \'\\t\'}, _m=<built-in method match of _sre.SRE_Pattern object at 0x0000022993408810>)',)",strict,True,bool,arg_info
json,2.0.9,json.decoder.py_scanstring,decoder,py_scanstring,"Python Library Documentation: function py_scanstring in module json.decoder

py_scanstring(s, end, strict=True, _b={'""': '""', '\\': '\\', '/': '/', 'b': '\x08', 'f': '\x0c', 'n': '\n', 'r': '\r', 't': '\t'}, _m=<built-in method match of _sre.SRE_Pattern object at 0x0000022993408810>)
    Scan the string s for a JSON string. End is the index of the
    character in s after the quote that started the JSON string.
    Unescapes all valid JSON string escape sequences and raises ValueError
    on attempt to decode an invalid string. If strict is False then literal
    control characters are allowed in the string.
    
    Returns a tuple of the decoded string and the index of the character in s
    after the end quote.
",function,"('(s, end, strict=True, _b={\'""\': \'""\', \'\\\\\': \'\\\\\', \'/\': \'/\', \'b\': \'\\x08\', \'f\': \'\\x0c\', \'n\': \'\\n\', \'r\': \'\\r\', \'t\': \'\\t\'}, _m=<built-in method match of _sre.SRE_Pattern object at 0x0000022993408810>)',)",s,,,arg_info
